URL,Title,Price,MRP,Discount,Rating,Reviews,Availability,Timestamp
https://www.amazon.in/OnePlus-Snapdragon-Flagship-Powered-Phantom/dp/B0FCML66W9,OnePlus Nord 5 | Snapdragon 8s Gen 3 | Stable 144FPS Gaming | Dual 50MP Flagship Camera | Powered by OnePlus AI | 8GB + 256GB | Phantom Grey,₹,"₹34,999",N/A,4.4 out of 5 stars,"3,181 ratings",In stock,2025-11-23 17:31:21
https://www.amazon.in/iPhone-16-Plus-128-GB/dp/B0DGJ6JS1D,"iPhone 16 Plus 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Pink",₹,"₹89,900",N/A,4.6 out of 5 stars,647 ratings,In stock,2025-11-23 17:31:36
